Mix ID,Cement,SF,Sand,NanoSilica,Quartz Powder,Water,Superplasticizer,Fibers,Fly Ash,Slag,MetaK,Lime Powder,Water/Binder Ratio,Curing Type,Curing Temp,Type of Cement,Superplasticizer Base,Fiber Type,Fiber Length,Fiber Diameter,Specimen Type,Testing Age,Compressive Strength
DS2-UHPC-1,450,50,1992,0,0,90,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,28,131
DS2-UHPC-10,450,50,1992,0,0,90,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,56,139
DS2-UHPC-100,426.3,0,1273.4,13.2,175.9,175.8,43.9,195,0,0,0,263.7,0.412385644,1,21,1,1,1,13,0.2,1,3,78.44
DS2-UHPC-101,421.9,0,1273.4,17.6,175.9,175.8,43.9,195,0,0,0,263.7,0.416686419,1,21,1,1,1,13,0.2,1,3,79.69
DS2-UHPC-102,417.5,0,1273.4,22,175.9,175.8,43.9,195,0,0,0,263.7,0.421077844,1,21,1,1,1,13,0.2,1,3,77.82
DS2-UHPC-103,430.7,0,1273.4,8.8,175.9,175.8,43.9,0,0,0,0,263.7,0.408172742,1,21,1,1,0,0,0,1,7,65.98
DS2-UHPC-104,426.3,0,1273.4,13.2,175.9,175.8,43.9,0,0,0,0,263.7,0.412385644,1,21,1,1,0,0,0,1,7,68.82
DS2-UHPC-105,421.9,0,1273.4,17.6,175.9,175.8,43.9,0,0,0,0,263.7,0.416686419,1,21,1,1,0,0,0,1,7,69.13
DS2-UHPC-106,417.5,0,1273.4,22,175.9,175.8,43.9,0,0,0,0,263.7,0.421077844,1,21,1,1,0,0,0,1,7,65.35
DS2-UHPC-107,439.5,0,1273.4,0,175.9,175.8,43.9,195,0,0,0,263.7,0.4,1,21,1,1,1,13,0.2,1,7,90.89
DS2-UHPC-108,435.1,0,1273.4,4.4,175.9,175.8,43.9,195,0,0,0,263.7,0.404045047,1,21,1,1,1,13,0.2,1,7,94.63
DS2-UHPC-109,430.7,0,1273.4,8.8,175.9,175.8,43.9,195,0,0,0,263.7,0.408172742,1,21,1,1,1,13,0.2,1,7,96.5
DS2-UHPC-11,630,70,1788,0,0,126,18,0,0,0,0,0,0.18,1,20,1,1,0,0,0,1,56,146
