C,SF,S,QP,W,SP,F,WB,FT,FL,FD,A,CS
960,240,754,0,234,45,14.4,0.2,1,6,0.16,56,199.4
828,207,911,248,186.4,21,24.84,0.18,1,12,0.2,28,198.9
1116.7,390.85,625.35,0,212.17,23.45,33.501,0.14,1,13,0.2,42,198.7
960,240,767.2,0,234,45,9.6,0.2,1,6,0.16,56,197.2
960,240,773.8,0,234,45,7.2,0.2,1,6,0.16,90,197.2
1076.77,286.23,1090.8,0,272.6,46.2,32.3031,0.2,1,12.7,0.2,28,197
1116.7,390.85,625.35,0,212.17,23.45,55.835,0.14,1,13,0.2,28,196.8
1116.7,390.85,625.35,0,212.17,23.45,22.334,0.14,1,13,0.2,42,196.4
960,240,780.5,0,234,45,4.8,0.2,1,6,0.16,90,195.4
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,16,0.2,56,194.7
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,12,0.2,56,193.7
960,240,773.8,0,234,45,7.2,0.2,1,6,0.16,56,193.6
960,240,787.1,0,234,45,2.4,0.2,1,6,0.16,90,193.6
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,90,192.7
960,240,780.5,0,234,45,4.8,0.2,1,6,0.16,56,191.8
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,8,0.2,56,190.5
1116.7,390.85,625.35,0,212.17,23.45,44.668,0.14,1,13,0.2,28,189.4
960,240,787.1,0,234,45,2.4,0.2,1,6,0.16,56,188.6
960,240,740.7,0,234,45,19.2,0.2,1,6,0.16,28,188.3
792,264,1056,0,173,21.1,15.84,0.16,1,13,0.2,90,187
960,240,754,0,234,45,14.4,0.2,1,6,0.16,28,185.4
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,12,0.2,56,185.3
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,16,0.2,56,184.2
788,197,866.8,315,173,14.77,19.7,0.18,1,13,0.16,28,184
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,8,0.2,56,183.2
784,261,1045,0,171,20.9,23.52,0.16,1,13,0.2,28,182.9
788,197,866.8,315,173,14.77,19.7,0.18,1,6,0.16,28,182.3
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,12,0.2,28,182.1
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,8,0.2,28,180
788,197,866.8,315,173,14.77,19.7,0.18,1,13,0.16,21,180
853,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,1,16,0.2,28,178.9
960,240,767.2,0,234,45,9.6,0.2,1,6,0.16,28,178.9
863,216,1079,0,194.22,43.16,25.89,0.18,1,13,0.2,28,176.4
960,240,773.8,0,234,45,7.2,0.2,1,6,0.16,28,176.1
853,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,1,16,0.2,56,175.8
1116.7,390.85,625.35,0,212.17,23.45,33.501,0.14,1,13,0.2,28,175.6
788,197,866.8,315,173,14.77,19.7,0.18,1,6,0.16,21,175.5
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,12,0.2,28,174.7
1076.77,286.23,1090.8,0,272.6,46.2,32.3031,0.2,1,12.7,0.2,28,174.5
1116.7,390.85,625.35,0,212.17,23.45,33.501,0.14,1,13,0.2,28,174.4
788,197,866.8,315,173,14.77,15.76,0.18,1,13,0.16,28,173.8
853,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,1,16,0.2,28,173.7
