C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,200.0
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,199.9
788.5,433.7,867.4,0.0,160.3,52.6,78.0,0.13,23,1,1,1,13.0,0.2,1,28,199.6
960.0,240.0,754.0,0.0,234.0,45.0,14.4,0.2,23,1,1,6,6.0,0.16,1,56,199.4
828.0,207.0,911.0,248.0,186.4,21.0,24.84,0.18,23,1,1,6,12.0,0.2,1,28,198.9
1116.7,390.85,625.35,0.0,212.17,23.45,33.501,0.14,23,1,1,6,13.0,0.2,1,42,198.7
788.5,433.7,867.4,0.0,160.3,52.6,39.0,0.13,23,1,1,1,13.0,0.2,1,28,198.6
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,198.5
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,197.9
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,197.6
960.0,240.0,767.2,0.0,234.0,45.0,9.6,0.2,23,1,1,6,6.0,0.16,1,56,197.2
960.0,240.0,773.8,0.0,234.0,45.0,7.2,0.2,23,1,1,6,6.0,0.16,1,90,197.2
1076.77,286.23,1090.8,0.0,272.6,46.2,32.3031,0.2,23,1,1,6,12.7,0.2,1,28,197.0
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,196.9
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,196.9
1116.7,390.85,625.35,0.0,212.17,23.45,55.835,0.14,23,1,1,6,13.0,0.2,1,28,196.8
1116.7,390.85,625.35,0.0,212.17,23.45,22.334,0.14,23,1,1,6,13.0,0.2,1,42,196.4
960.0,240.0,780.5,0.0,234.0,45.0,4.8,0.2,23,1,1,6,6.0,0.16,1,90,195.4
788.5,433.7,867.4,0.0,160.3,52.6,0.0,0.13,23,1,1,1,13.0,0.2,1,28,195.2
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,195.2
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,194.9
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,16.0,0.2,1,56,194.7
960.0,240.0,698.3,0.0,234.0,78.0,14.4,0.2,23,1,1,5,13.0,0.018,1,90,194.3
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,12.0,0.2,1,56,193.7
960.0,240.0,773.8,0.0,234.0,45.0,7.2,0.2,23,1,1,6,6.0,0.16,1,56,193.6
960.0,240.0,787.1,0.0,234.0,45.0,2.4,0.2,23,1,1,6,6.0,0.16,1,90,193.6
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,193.5
784.0,261.0,1045.0,0.0,171.0,20.9,23.52,0.16,23,1,1,6,13.0,0.2,1,90,192.7
788.5,197.1,1104.0,0.0,160.3,50.0,156.0,0.16,23,1,1,1,13.0,0.2,1,28,192.3
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,192.2
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,192.2
960.0,240.0,780.5,0.0,234.0,45.0,4.8,0.2,23,1,1,6,6.0,0.16,1,56,191.8
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,191.5
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,191.2
960.0,240.0,798.8,0.0,234.0,39.0,9.6,0.2,23,1,1,5,13.0,0.018,1,90,191.1
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,8.0,0.2,1,56,190.5
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,190.2
1116.7,390.85,625.35,0.0,212.17,23.45,44.668,0.14,23,1,1,6,13.0,0.2,1,28,189.4
1116.7,390.85,625.35,0.0,212.17,23.45,0.0,0.14,23,1,1,0,0.0,0.0,1,42,189.4
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,189.3
960.0,240.0,793.9,0.0,234.0,42.0,7.2,0.2,23,1,1,5,13.0,0.018,1,90,188.9
960.0,240.0,787.1,0.0,234.0,45.0,2.4,0.2,23,1,1,6,6.0,0.16,1,56,188.6
960.0,240.0,740.7,0.0,234.0,45.0,19.2,0.2,23,1,1,6,6.0,0.16,1,28,188.3
960.0,240.0,788.9,0.0,234.0,45.0,4.8,0.2,23,1,1,5,13.0,0.018,1,90,188.3
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,188.2
960.0,240.0,698.3,0.0,234.0,78.0,14.4,0.2,23,1,1,5,13.0,0.018,1,56,188.1
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,187.5
788.5,197.1,1104.0,0.0,160.3,50.0,156.0,0.16,23,1,1,1,13.0,0.2,1,28,187.1
792.0,264.0,1056.0,0.0,173.0,21.1,15.84,0.16,23,1,1,6,13.0,0.2,1,90,187.0
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,186.8
788.5,433.7,867.4,0.0,160.3,52.6,78.0,0.13,23,1,1,1,13.0,0.2,1,28,186.7
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,186.1
